peptide_id	target_name	target_role	target_uniprot	iptm_best	iptm_mean	iptm_std	ptm_best	iface_pae_best	n_samples	sec	is_shuffled	shuffle_k	err
270_737_596	EGFR	receptor	P00533	0.341	0.304	0.031	0.599	24.96	5	8.3	0	-1	
270_737_596	FPR1	receptor	P21462	0.288	0.272	0.012	0.74	23.11	5	3.1	0	-1	
270_737_596	FPR2	receptor	P25090	0.32	0.305	0.008	0.772	22.72	5	3.6	0	-1	
270_737_596	TLR2	receptor	O60603	0.338	0.304	0.019	0.851	23.51	5	6.9	0	-1	
270_737_596	IL10RA	receptor	Q13651	0.13	0.108	0.017	0.77	27.51	5	1.8	0	-1	
270_737_596	GLP1R	receptor	P43220	0.177	0.124	0.027	0.58	21.84	5	1.4	0	-1	
270_737_596	GPR35	receptor	Q9HC97	0.228	0.192	0.066	0.76	24.39	5	2.8	0	-1	
270_737_596	ITGA4	receptor	P13612	0.335	0.309	0.016	0.616	27.58	5	17.0	0	-1	
270_737_596	ITGB7	receptor	P26010	0.784	0.76	0.025	0.645	18.92	5	9.7	0	-1	
270_737_596	CCR6	receptor	P51684	0.288	0.272	0.014	0.679	24.06	5	3.5	0	-1	
270_737_596	TNFRSF1B	receptor	P20333	0.285	0.247	0.036	0.578	23.68	5	2.1	0	-1	
270_737_596	IL6R	receptor	P08887	0.19	0.161	0.038	0.661	26.94	5	3.2	0	-1	
270_737_596	CXCR4	receptor	P61073	0.255	0.234	0.012	0.712	24.73	5	3.4	0	-1	
270_737_596	IL7R	receptor	P16871	0.283	0.191	0.074	0.767	22.12	5	1.8	0	-1	
270_737_596	INSR	decoy	P06213	0.16	0.148	0.014	0.527	29.76	5	10.7	0	-1	
270_737_596	EPOR	decoy	P19235	0.552	0.544	0.006	0.837	16.69	5	1.9	0	-1	
270_737_596	GHR	decoy	P10912	0.644	0.633	0.007	0.747	15.96	5	2.0	0	-1	
270_737_596	LGR4	decoy	Q9BXB1	0.414	0.407	0.007	0.769	21.67	5	5.8	0	-1	
270_737_596	GCGR	decoy	P47871	0.441	0.4	0.023	0.66	14.88	5	1.4	0	-1	
270_737_596	PTHR1	decoy	Q03431	0.252	0.246	0.005	0.483	22.53	5	1.5	0	-1	
270_737_596	ADRB2	decoy	P07550	0.17	0.14	0.03	0.669	27.82	5	4.2	0	-1	
270_737_596	DRD2	decoy	P14416	0.151	0.111	0.033	0.567	28.77	5	4.6	0	-1	
270_737_596	ITGAV	decoy	P06756	0.359	0.328	0.017	0.648	26.91	5	16.4	0	-1	
270_737_596	ITGB3	decoy	P05106	0.311	0.278	0.044	0.616	26.98	5	9.5	0	-1	
269_245_384	IL23R	receptor	Q5VWK5	0.294	0.207	0.058	0.667	25.13	5	3.3	0	-1	
269_245_384	EGFR	receptor	P00533	0.249	0.22	0.019	0.596	26.72	5	7.8	0	-1	
269_245_384	FPR1	receptor	P21462	0.254	0.238	0.011	0.705	24.83	5	3.6	0	-1	
269_245_384	FPR2	receptor	P25090	0.434	0.427	0.007	0.77	21.13	5	3.6	0	-1	
269_245_384	TLR2	receptor	O60603	0.338	0.304	0.03	0.841	23.45	5	7.4	0	-1	
269_245_384	IL10RA	receptor	Q13651	0.11	0.105	0.004	0.73	26.93	5	2.1	0	-1	
269_245_384	GLP1R	receptor	P43220	0.189	0.169	0.011	0.532	22.43	5	1.4	0	-1	
269_245_384	GPR35	receptor	Q9HC97	0.086	0.08	0.006	0.703	29.79	5	2.9	0	-1	
269_245_384	ITGA4	receptor	P13612	0.486	0.461	0.018	0.611	25.35	5	16.6	0	-1	
269_245_384	ITGB7	receptor	P26010	0.301	0.266	0.03	0.595	27.71	5	10.5	0	-1	
269_245_384	CCR6	receptor	P51684	0.156	0.128	0.033	0.624	27.96	5	4.0	0	-1	
269_245_384	TNFRSF1B	receptor	P20333	0.208	0.194	0.009	0.532	25.26	5	2.3	0	-1	
269_245_384	IL6R	receptor	P08887	0.197	0.176	0.013	0.656	27.0	5	3.6	0	-1	
269_245_384	CXCR4	receptor	P61073	0.178	0.165	0.011	0.687	26.51	5	3.7	0	-1	
269_245_384	IL7R	receptor	P16871	0.156	0.137	0.013	0.712	25.01	5	2.0	0	-1	
269_245_384	INSR	decoy	P06213	0.237	0.171	0.035	0.532	30.3	5	11.0	0	-1	
269_245_384	EPOR	decoy	P19235	0.107	0.096	0.011	0.723	26.88	5	2.1	0	-1	
269_245_384	GHR	decoy	P10912	0.201	0.175	0.019	0.653	25.52	5	2.4	0	-1	
269_245_384	LGR4	decoy	Q9BXB1	0.309	0.273	0.042	0.738	24.4	5	6.4	0	-1	
269_245_384	GCGR	decoy	P47871	0.163	0.151	0.007	0.513	22.83	5	1.4	0	-1	
269_245_384	PTHR1	decoy	Q03431	0.305	0.298	0.01	0.474	23.87	5	1.6	0	-1	
269_245_384	ADRB2	decoy	P07550	0.117	0.094	0.018	0.647	29.66	5	4.2	0	-1	
269_245_384	DRD2	decoy	P14416	0.151	0.117	0.037	0.554	28.87	5	4.9	0	-1	
269_245_384	ITGAV	decoy	P06756	0.345	0.332	0.021	0.645	27.17	5	17.7	0	-1	
269_245_384	ITGB3	decoy	P05106	0.236	0.212	0.017	0.628	28.02	5	10.3	0	-1	
043_233_509	IL23R	receptor	Q5VWK5	0.225	0.206	0.017	0.677	25.69	5	3.3	0	-1	
043_233_509	EGFR	receptor	P00533	0.252	0.222	0.017	0.561	28.11	5	8.2	0	-1	
043_233_509	FPR1	receptor	P21462	0.139	0.111	0.03	0.674	28.28	5	3.7	0	-1	
043_233_509	FPR2	receptor	P25090	0.326	0.299	0.028	0.752	22.87	5	3.4	0	-1	
043_233_509	TLR2	receptor	O60603	0.273	0.253	0.012	0.829	25.68	5	7.5	0	-1	
043_233_509	IL10RA	receptor	Q13651	0.087	0.077	0.011	0.726	28.2	5	2.0	0	-1	
043_233_509	GLP1R	receptor	P43220	0.203	0.189	0.013	0.609	21.7	5	1.4	0	-1	
043_233_509	GPR35	receptor	Q9HC97	0.174	0.139	0.032	0.685	28.43	5	2.9	0	-1	
043_233_509	ITGA4	receptor	P13612	0.345	0.305	0.021	0.615	26.81	5	15.2	0	-1	
043_233_509	ITGB7	receptor	P26010	0.492	0.48	0.011	0.61	23.97	5	10.5	0	-1	
043_233_509	CCR6	receptor	P51684	0.175	0.135	0.04	0.613	26.65	5	4.0	0	-1	
043_233_509	TNFRSF1B	receptor	P20333	0.207	0.173	0.034	0.537	25.44	5	2.2	0	-1	
043_233_509	IL6R	receptor	P08887	0.252	0.214	0.03	0.664	25.69	5	3.6	0	-1	
043_233_509	CXCR4	receptor	P61073	0.205	0.185	0.024	0.678	26.48	5	3.7	0	-1	
043_233_509	IL7R	receptor	P16871	0.189	0.152	0.027	0.725	24.48	5	2.0	0	-1	
043_233_509	INSR	decoy	P06213	0.17	0.128	0.029	0.525	30.73	5	10.9	0	-1	
043_233_509	EPOR	decoy	P19235	0.117	0.102	0.011	0.732	26.82	5	2.1	0	-1	
043_233_509	GHR	decoy	P10912	0.289	0.219	0.05	0.633	27.99	5	2.4	0	-1	
043_233_509	LGR4	decoy	Q9BXB1	0.243	0.238	0.004	0.736	26.02	5	6.4	0	-1	
043_233_509	GCGR	decoy	P47871	0.141	0.137	0.005	0.556	22.74	5	1.4	0	-1	
043_233_509	PTHR1	decoy	Q03431	0.369	0.324	0.037	0.525	21.25	5	1.6	0	-1	
043_233_509	ADRB2	decoy	P07550	0.194	0.165	0.033	0.641	26.85	5	4.4	0	-1	
043_233_509	DRD2	decoy	P14416	0.13	0.119	0.011	0.535	28.83	5	4.8	0	-1	
043_233_509	ITGAV	decoy	P06756	0.301	0.276	0.032	0.648	27.35	5	17.7	0	-1	
043_233_509	ITGB3	decoy	P05106	0.213	0.195	0.014	0.608	28.6	5	10.1	0	-1	
198_049_032	IL23R	receptor	Q5VWK5	0.197	0.156	0.044	0.68	26.45	5	3.1	0	-1	
198_049_032	EGFR	receptor	P00533	0.335	0.31	0.024	0.607	24.64	5	8.0	0	-1	
198_049_032	FPR1	receptor	P21462	0.32	0.309	0.013	0.729	22.58	5	3.3	0	-1	
198_049_032	FPR2	receptor	P25090	0.461	0.448	0.01	0.783	20.04	5	3.1	0	-1	
198_049_032	TLR2	receptor	O60603	0.432	0.375	0.052	0.856	21.47	5	7.2	0	-1	
198_049_032	IL10RA	receptor	Q13651	0.387	0.324	0.086	0.792	19.58	5	1.8	0	-1	
198_049_032	GLP1R	receptor	P43220	0.355	0.335	0.012	0.597	17.36	5	1.7	0	-1	
198_049_032	GPR35	receptor	Q9HC97	0.345	0.31	0.029	0.773	21.44	5	2.8	0	-1	
198_049_032	ITGA4	receptor	P13612	0.434	0.412	0.028	0.622	26.22	5	15.2	0	-1	
198_049_032	ITGB7	receptor	P26010	0.361	0.296	0.044	0.611	26.28	5	10.0	0	-1	
198_049_032	CCR6	receptor	P51684	0.194	0.177	0.011	0.681	26.84	5	3.8	0	-1	
198_049_032	TNFRSF1B	receptor	P20333	0.186	0.173	0.018	0.556	25.94	5	2.0	0	-1	
198_049_032	IL6R	receptor	P08887	0.171	0.143	0.023	0.654	27.53	5	3.2	0	-1	
198_049_032	CXCR4	receptor	P61073	0.306	0.274	0.035	0.721	23.86	5	3.5	0	-1	
198_049_032	IL7R	receptor	P16871	0.465	0.448	0.017	0.797	18.4	5	1.8	0	-1	
198_049_032	INSR	decoy	P06213	0.639	0.595	0.028	0.541	26.39	5	10.1	0	-1	
198_049_032	EPOR	decoy	P19235	0.121	0.106	0.017	0.76	26.51	5	2.0	0	-1	
198_049_032	GHR	decoy	P10912	0.207	0.19	0.016	0.687	24.91	5	2.1	0	-1	
198_049_032	LGR4	decoy	Q9BXB1	0.577	0.563	0.011	0.771	20.68	5	6.2	0	-1	
198_049_032	GCGR	decoy	P47871	0.291	0.265	0.015	0.586	18.55	5	1.7	0	-1	
198_049_032	PTHR1	decoy	Q03431	0.235	0.226	0.007	0.467	22.79	5	1.5	0	-1	
198_049_032	ADRB2	decoy	P07550	0.764	0.751	0.01	0.726	15.49	5	4.1	0	-1	
198_049_032	DRD2	decoy	P14416	0.229	0.225	0.006	0.574	26.92	5	4.6	0	-1	
198_049_032	ITGAV	decoy	P06756	0.354	0.34	0.01	0.646	27.07	5	17.4	0	-1	
198_049_032	ITGB3	decoy	P05106	0.241	0.22	0.02	0.633	27.94	5	10.2	0	-1	
091_357_571	IL23R	receptor	Q5VWK5	0.13	0.111	0.016	0.686	28.85	5	3.1	0	-1	
091_357_571	EGFR	receptor	P00533	0.209	0.186	0.019	0.549	28.89	5	8.2	0	-1	
091_357_571	FPR1	receptor	P21462	0.248	0.151	0.08	0.728	25.2	5	3.2	0	-1	
091_357_571	FPR2	receptor	P25090	0.378	0.331	0.057	0.771	21.42	5	3.2	0	-1	
091_357_571	TLR2	receptor	O60603	0.323	0.284	0.039	0.854	23.85	5	6.9	0	-1	
091_357_571	IL10RA	receptor	Q13651	0.127	0.104	0.026	0.774	25.49	5	1.8	0	-1	
091_357_571	GLP1R	receptor	P43220	0.208	0.193	0.013	0.563	20.41	5	1.7	0	-1	
091_357_571	GPR35	receptor	Q9HC97	0.104	0.083	0.014	0.716	28.47	5	2.8	0	-1	
091_357_571	ITGA4	receptor	P13612	0.535	0.507	0.032	0.63	24.95	5	17.1	0	-1	
091_357_571	ITGB7	receptor	P26010	0.279	0.263	0.015	0.605	27.71	5	9.6	0	-1	
091_357_571	CCR6	receptor	P51684	0.238	0.225	0.009	0.648	25.82	5	3.8	0	-1	
091_357_571	TNFRSF1B	receptor	P20333	0.271	0.25	0.012	0.57	23.55	5	2.0	0	-1	
091_357_571	IL6R	receptor	P08887	0.283	0.277	0.004	0.681	24.5	5	3.0	0	-1	
091_357_571	CXCR4	receptor	P61073	0.334	0.296	0.04	0.709	22.94	5	3.2	0	-1	
091_357_571	IL7R	receptor	P16871	0.207	0.187	0.017	0.763	24.55	5	1.8	0	-1	
091_357_571	INSR	decoy	P06213	0.281	0.222	0.067	0.524	28.03	5	10.6	0	-1	
091_357_571	EPOR	decoy	P19235	0.394	0.382	0.012	0.798	19.63	5	1.8	0	-1	
091_357_571	GHR	decoy	P10912	0.115	0.091	0.023	0.657	28.16	5	2.1	0	-1	
091_357_571	LGR4	decoy	Q9BXB1	0.423	0.384	0.036	0.765	21.86	5	6.0	0	-1	
091_357_571	GCGR	decoy	P47871	0.223	0.207	0.018	0.561	18.76	5	1.7	0	-1	
091_357_571	PTHR1	decoy	Q03431	0.216	0.193	0.013	0.445	23.33	5	1.5	0	-1	
091_357_571	ADRB2	decoy	P07550	0.157	0.131	0.029	0.657	28.49	5	4.1	0	-1	
091_357_571	DRD2	decoy	P14416	0.372	0.353	0.024	0.57	24.34	5	4.6	0	-1	
091_357_571	ITGAV	decoy	P06756	0.471	0.457	0.017	0.658	25.46	5	15.4	0	-1	
091_357_571	ITGB3	decoy	P05106	0.372	0.308	0.049	0.631	26.35	5	9.8	0	-1	
258_379_956	IL23R	receptor	Q5VWK5	0.157	0.15	0.004	0.681	27.47	5	3.2	0	-1	
258_379_956	EGFR	receptor	P00533	0.307	0.249	0.067	0.548	27.51	5	8.4	0	-1	
258_379_956	FPR1	receptor	P21462	0.202	0.191	0.009	0.691	26.58	5	3.4	0	-1	
258_379_956	FPR2	receptor	P25090	0.286	0.272	0.012	0.75	23.55	5	3.6	0	-1	
258_379_956	TLR2	receptor	O60603	0.292	0.277	0.009	0.837	24.83	5	7.1	0	-1	
258_379_956	IL10RA	receptor	Q13651	0.16	0.136	0.027	0.756	25.83	5	1.8	0	-1	
258_379_956	GLP1R	receptor	P43220	0.284	0.267	0.013	0.556	19.33	5	1.4	0	-1	
258_379_956	GPR35	receptor	Q9HC97	0.238	0.214	0.014	0.688	24.72	5	2.9	0	-1	
258_379_956	ITGA4	receptor	P13612	0.144	0.121	0.015	0.594	30.51	5	17.2	0	-1	
258_379_956	ITGB7	receptor	P26010	0.176	0.156	0.018	0.582	29.6	5	9.9	0	-1	
258_379_956	CCR6	receptor	P51684	0.267	0.244	0.016	0.646	24.29	5	3.6	0	-1	
258_379_956	TNFRSF1B	receptor	P20333	0.227	0.204	0.018	0.554	24.82	5	2.1	0	-1	
258_379_956	IL6R	receptor	P08887	0.205	0.156	0.058	0.664	27.03	5	3.4	0	-1	
258_379_956	CXCR4	receptor	P61073	0.233	0.202	0.026	0.662	25.66	5	3.6	0	-1	
258_379_956	IL7R	receptor	P16871	0.183	0.16	0.022	0.733	24.12	5	2.0	0	-1	
258_379_956	INSR	decoy	P06213	0.178	0.146	0.018	0.517	30.15	5	11.4	0	-1	
258_379_956	EPOR	decoy	P19235	0.243	0.205	0.04	0.76	23.1	5	2.0	0	-1	
258_379_956	GHR	decoy	P10912	0.184	0.168	0.023	0.648	26.09	5	2.2	0	-1	
258_379_956	LGR4	decoy	Q9BXB1	0.412	0.379	0.042	0.752	22.35	5	5.9	0	-1	
258_379_956	GCGR	decoy	P47871	0.219	0.198	0.016	0.531	20.17	5	1.4	0	-1	
258_379_956	PTHR1	decoy	Q03431	0.194	0.178	0.013	0.43	23.97	5	1.6	0	-1	
258_379_956	ADRB2	decoy	P07550	0.189	0.152	0.03	0.639	26.9	5	4.4	0	-1	
258_379_956	DRD2	decoy	P14416	0.136	0.123	0.01	0.541	29.16	5	4.8	0	-1	
258_379_956	ITGAV	decoy	P06756	0.183	0.145	0.02	0.623	30.18	5	16.6	0	-1	
258_379_956	ITGB3	decoy	P05106	0.177	0.148	0.023	0.627	29.19	5	9.6	0	-1	
134_146_546	IL23R	receptor	Q5VWK5	0.17	0.145	0.029	0.652	27.47	5	3.2	0	-1	
134_146_546	EGFR	receptor	P00533	0.275	0.249	0.035	0.546	26.49	5	8.2	0	-1	
134_146_546	FPR1	receptor	P21462	0.545	0.524	0.013	0.741	18.25	5	3.6	0	-1	
134_146_546	FPR2	receptor	P25090	0.545	0.465	0.137	0.769	16.81	5	3.6	0	-1	
134_146_546	TLR2	receptor	O60603	0.551	0.54	0.009	0.857	17.7	5	7.3	0	-1	
134_146_546	IL10RA	receptor	Q13651	0.12	0.098	0.02	0.728	27.17	5	2.0	0	-1	
134_146_546	GLP1R	receptor	P43220	0.175	0.155	0.021	0.538	21.61	5	1.4	0	-1	
134_146_546	GPR35	receptor	Q9HC97	0.122	0.108	0.011	0.674	27.51	5	2.9	0	-1	
134_146_546	ITGA4	receptor	P13612	0.152	0.131	0.02	0.6	30.75	5	16.2	0	-1	
134_146_546	ITGB7	receptor	P26010	0.268	0.229	0.029	0.589	27.92	5	10.4	0	-1	
134_146_546	CCR6	receptor	P51684	0.279	0.275	0.004	0.645	25.1	5	3.9	0	-1	
134_146_546	TNFRSF1B	receptor	P20333	0.196	0.185	0.006	0.527	25.74	5	2.0	0	-1	
134_146_546	IL6R	receptor	P08887	0.331	0.311	0.022	0.66	23.91	5	3.5	0	-1	
134_146_546	CXCR4	receptor	P61073	0.329	0.258	0.101	0.696	23.02	5	3.6	0	-1	
134_146_546	IL7R	receptor	P16871	0.472	0.457	0.015	0.766	16.8	5	1.9	0	-1	
134_146_546	INSR	decoy	P06213	0.161	0.129	0.025	0.524	29.92	5	10.3	0	-1	
134_146_546	EPOR	decoy	P19235	0.246	0.213	0.033	0.747	22.37	5	2.1	0	-1	
134_146_546	GHR	decoy	P10912	0.44	0.404	0.028	0.686	19.75	5	2.3	0	-1	
134_146_546	LGR4	decoy	Q9BXB1	0.242	0.231	0.009	0.739	25.88	5	6.3	0	-1	
134_146_546	GCGR	decoy	P47871	0.24	0.194	0.04	0.553	19.11	5	1.4	0	-1	
134_146_546	PTHR1	decoy	Q03431	0.176	0.166	0.018	0.423	24.13	5	1.6	0	-1	
134_146_546	ADRB2	decoy	P07550	0.336	0.329	0.004	0.654	24.28	5	4.3	0	-1	
134_146_546	DRD2	decoy	P14416	0.106	0.095	0.01	0.532	29.44	5	4.5	0	-1	
134_146_546	ITGAV	decoy	P06756	0.16	0.134	0.016	0.628	30.5	5	17.8	0	-1	
134_146_546	ITGB3	decoy	P05106	0.146	0.126	0.015	0.614	29.93	5	10.0	0	-1	
241_249_853	IL23R	receptor	Q5VWK5	0.162	0.144	0.018	0.65	27.55	5	3.4	0	-1	
241_249_853	EGFR	receptor	P00533	0.232	0.217	0.021	0.593	26.73	5	8.9	0	-1	
241_249_853	FPR1	receptor	P21462	0.263	0.227	0.034	0.71	25.51	5	3.7	0	-1	
241_249_853	FPR2	receptor	P25090	0.588	0.577	0.007	0.757	21.23	5	3.7	0	-1	
241_249_853	TLR2	receptor	O60603	0.276	0.249	0.019	0.831	25.27	5	7.3	0	-1	
241_249_853	IL10RA	receptor	Q13651	0.066	0.063	0.003	0.71	28.68	5	2.1	0	-1	
241_249_853	GLP1R	receptor	P43220	0.13	0.098	0.018	0.513	24.25	5	1.4	0	-1	
241_249_853	GPR35	receptor	Q9HC97	0.076	0.07	0.003	0.705	29.62	5	3.1	0	-1	
241_249_853	ITGA4	receptor	P13612	0.311	0.295	0.011	0.609	27.87	5	17.6	0	-1	
241_249_853	ITGB7	receptor	P26010	0.26	0.226	0.024	0.582	28.03	5	10.1	0	-1	
241_249_853	CCR6	receptor	P51684	0.119	0.11	0.006	0.662	29.37	5	4.0	0	-1	
241_249_853	TNFRSF1B	receptor	P20333	0.19	0.177	0.01	0.54	25.54	5	2.3	0	-1	
241_249_853	IL6R	receptor	P08887	0.277	0.26	0.017	0.671	24.9	5	3.6	0	-1	
241_249_853	CXCR4	receptor	P61073	0.269	0.259	0.009	0.705	24.06	5	3.6	0	-1	
241_249_853	IL7R	receptor	P16871	0.245	0.17	0.039	0.711	23.47	5	2.1	0	-1	
241_249_853	INSR	decoy	P06213	0.492	0.403	0.101	0.527	26.79	5	11.9	0	-1	
241_249_853	EPOR	decoy	P19235	0.204	0.188	0.016	0.74	23.8	5	2.3	0	-1	
241_249_853	GHR	decoy	P10912	0.133	0.12	0.019	0.627	26.98	5	2.4	0	-1	
241_249_853	LGR4	decoy	Q9BXB1	0.293	0.274	0.012	0.736	24.55	5	6.5	0	-1	
241_249_853	GCGR	decoy	P47871	0.272	0.231	0.024	0.546	21.09	5	1.4	0	-1	
241_249_853	PTHR1	decoy	Q03431	0.165	0.158	0.007	0.436	25.14	5	1.6	0	-1	
241_249_853	ADRB2	decoy	P07550	0.126	0.1	0.02	0.637	29.27	5	4.6	0	-1	
241_249_853	DRD2	decoy	P14416	0.185	0.175	0.007	0.565	28.71	5	5.0	0	-1	
241_249_853	ITGAV	decoy	P06756	0.392	0.376	0.017	0.656	26.18	5	17.0	0	-1	
241_249_853	ITGB3	decoy	P05106	0.177	0.152	0.024	0.605	29.43	5	9.5	0	-1	
046_386_618	IL23R	receptor	Q5VWK5	0.339	0.333	0.005	0.656	24.07	5	3.5	0	-1	
046_386_618	EGFR	receptor	P00533	0.261	0.239	0.017	0.547	26.12	5	9.1	0	-1	
046_386_618	FPR1	receptor	P21462	0.212	0.151	0.039	0.647	27.22	5	3.9	0	-1	
046_386_618	FPR2	receptor	P25090	0.154	0.14	0.012	0.672	27.67	5	4.0	0	-1	
046_386_618	TLR2	receptor	O60603	0.274	0.233	0.027	0.816	25.15	5	7.8	0	-1	
046_386_618	IL10RA	receptor	Q13651	0.243	0.18	0.077	0.715	23.4	5	2.3	0	-1	
046_386_618	GLP1R	receptor	P43220	0.14	0.118	0.021	0.526	24.47	5	1.5	0	-1	
046_386_618	GPR35	receptor	Q9HC97	0.493	0.477	0.011	0.655	26.57	5	3.4	0	-1	
046_386_618	ITGA4	receptor	P13612	0.181	0.158	0.02	0.592	30.04	5	17.9	0	-1	
046_386_618	ITGB7	receptor	P26010	0.187	0.14	0.025	0.572	29.22	5	11.0	0	-1	
046_386_618	CCR6	receptor	P51684	0.406	0.391	0.009	0.65	22.46	5	4.3	0	-1	
046_386_618	TNFRSF1B	receptor	P20333	0.277	0.196	0.061	0.508	26.23	5	2.5	0	-1	
046_386_618	IL6R	receptor	P08887	0.48	0.469	0.012	0.665	21.9	5	3.8	0	-1	
046_386_618	CXCR4	receptor	P61073	0.397	0.345	0.071	0.648	27.32	5	3.9	0	-1	
046_386_618	IL7R	receptor	P16871	0.139	0.125	0.007	0.66	26.85	5	2.4	0	-1	
046_386_618	INSR	decoy	P06213	0.143	0.127	0.012	0.511	30.92	5	12.1	0	-1	
