query	target	pident	alnlen	evalue	bits	taxid	species	desc	genus
078_038_456	E5VPF1	94.2	70	2.199e-33	132	658089	Lachnospiraceae bacterium 5_1_63FAA	tr|E5VPF1|E5VPF1_9FIRM Conjugal transfer protein OS=Lachnospiraceae bacterium 5_1_63FAA OX=658089 GN=HMPREF0996_02915 PE=4 SV=1	Lachnospiraceae
078_038_456	A0A4R3J8J5	94.2	70	2.199e-33	132	1912855	Faecalimonas umbilicata	tr|A0A4R3J8J5|A0A4R3J8J5_9FIRM Conjugal transfer protein OS=Faecalimonas umbilicata OX=1912855 GN=EDD74_13527 PE=4 SV=1	Faecalimonas
078_038_456	A0A828SW79	94.2	70	2.199e-33	132	658081	Lachnospiraceae bacterium 1_1_57FAA	tr|A0A828SW79|A0A828SW79_9FIRM Conjugal transfer protein OS=Lachnospiraceae bacterium 1_1_57FAA OX=658081 GN=HMPREF0990_02317 PE=4 SV=1	Lachnospiraceae
078_038_456	A0A417Q8Y3	94.2	70	2.199e-33	132	2293100	Dorea sp. OM07-5	tr|A0A417Q8Y3|A0A417Q8Y3_9FIRM Conjugal transfer protein OS=Dorea sp. OM07-5 OX=2293100 GN=DXC04_11695 PE=4 SV=1	Dorea
078_038_456	A0A7I8E145	94.2	70	2.199e-33	132	1982626	Faecalibacillus intestinalis	tr|A0A7I8E145|A0A7I8E145_9FIRM Conjugal transfer protein OS=Faecalibacillus intestinalis OX=1982626 GN=Fi14EGH31_23640 PE=4 SV=1	Faecalibacillus
078_038_456	A0A7X2NJX3	94.2	70	3.018e-33	131	2605778	Clostridium porci	tr|A0A7X2NJX3|A0A7X2NJX3_9CLOT Sporulation initiation factor Spo0A C-terminal domain-containing protein OS=Clostridium porci OX=2605778 GN=FYJ39_06655 PE=4 SV=1	Clostridium
078_038_456	A0A173SVC9	95.7	70	3.018e-33	131	649756	Anaerostipes hadrus	tr|A0A173SVC9|A0A173SVC9_ANAHA Conjugal transfer protein OS=Anaerostipes hadrus OX=649756 GN=ERS852425_01550 PE=4 SV=1	Anaerostipes
078_038_456	A0A1C6IAZ9	94.2	70	4.143e-33	131	165186	uncultured Ruminococcus sp.	tr|A0A1C6IAZ9|A0A1C6IAZ9_9FIRM Conjugal transfer protein OS=uncultured Ruminococcus sp. OX=165186 GN=SAMEA3545354_01254 PE=4 SV=1	uncultured
078_038_456	A0A1C6IKC1	94.2	70	4.143e-33	131	59620	uncultured Clostridium sp.	tr|A0A1C6IKC1|A0A1C6IKC1_9CLOT Conjugal transfer protein OS=uncultured Clostridium sp. OX=59620 GN=SAMEA3545383_03430 PE=4 SV=1	uncultured
078_038_456	A0A412SW51	94.2	70	4.143e-33	131	410072	Coprococcus comes	tr|A0A412SW51|A0A412SW51_9FIRM Conjugal transfer protein OS=Coprococcus comes OX=410072 GN=DWW65_16025 PE=4 SV=1	Coprococcus
078_038_456	A0A414W2I1	94.2	70	4.143e-33	131	40520	Blautia obeum	tr|A0A414W2I1|A0A414W2I1_9FIRM Conjugal transfer protein OS=Blautia obeum OX=40520 GN=DW222_06775 PE=4 SV=1	Blautia
078_038_456	A0A9E0ZK21	92.8	70	4.143e-33	131	1898207	Clostridiales bacterium	tr|A0A9E0ZK21|A0A9E0ZK21_9FIRM Conjugal transfer protein OS=Clostridiales bacterium OX=1898207 GN=KHY93_02460 PE=4 SV=1	Clostridiales
078_038_456	A0A174Z7L7	94.2	70	4.143e-33	131	33039	[Ruminococcus] torques	tr|A0A174Z7L7|A0A174Z7L7_9FIRM Conjugal transfer protein OS=[Ruminococcus] torques OX=33039 GN=ERS852502_00683 PE=4 SV=1	[Ruminococcus]
078_038_456	A0A413SMB1	94.2	70	4.143e-33	131	39486	Dorea formicigenerans	tr|A0A413SMB1|A0A413SMB1_9FIRM Conjugal transfer protein OS=Dorea formicigenerans OX=39486 GN=DW924_09860 PE=4 SV=1	Dorea
078_038_456	A0A415MSV0	92.8	70	4.143e-33	131	39486	Dorea formicigenerans	tr|A0A415MSV0|A0A415MSV0_9FIRM Conjugal transfer protein OS=Dorea formicigenerans OX=39486 GN=DWZ98_16225 PE=4 SV=1	Dorea
078_038_456	A0A174TSP4	94.2	70	4.143e-33	131	1150298	Fusicatenibacter saccharivorans	tr|A0A174TSP4|A0A174TSP4_9FIRM Conjugal transfer protein OS=Fusicatenibacter saccharivorans OX=1150298 GN=ERS852498_03609 PE=4 SV=1	Fusicatenibacter
078_038_456	A0AAW6DN92	92.8	70	4.143e-33	131	33038	Mediterraneibacter gnavus	tr|A0AAW6DN92|A0AAW6DN92_MEDGN Uncharacterized protein OS=Mediterraneibacter gnavus OX=33038 GN=PNW85_20390 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A1C5RAH3	94.2	70	4.143e-33	131	286138	uncultured Dorea sp.	tr|A0A1C5RAH3|A0A1C5RAH3_9FIRM Conjugal transfer protein OS=uncultured Dorea sp. OX=286138 GN=SAMEA3545334_01952 PE=4 SV=1	uncultured
078_038_456	A0A3R6RVM4	94.2	70	5.687e-33	130	2293013	Clostridium sp. AF35-15	tr|A0A3R6RVM4|A0A3R6RVM4_9CLOT Conjugal transfer protein OS=Clostridium sp. AF35-15 OX=2293013 GN=DWZ76_06825 PE=4 SV=1	Clostridium
078_038_456	A0A6N9JZX3	94.2	70	5.687e-33	130	88431	Dorea longicatena	tr|A0A6N9JZX3|A0A6N9JZX3_9FIRM Conjugal transfer protein OS=Dorea longicatena OX=88431 GN=GT576_16100 PE=4 SV=1	Dorea
078_038_456	A0A412TA43	94.2	70	5.687e-33	130	410072	Coprococcus comes	tr|A0A412TA43|A0A412TA43_9FIRM Conjugal transfer protein OS=Coprococcus comes OX=410072 GN=DWW65_02890 PE=4 SV=1	Coprococcus
078_038_456	A0A829Z9E3	92.8	70	5.687e-33	130	69824	Thomasclavelia cocleata	tr|A0A829Z9E3|A0A829Z9E3_9FIRM Conjugal transfer protein OS=Thomasclavelia cocleata OX=69824 GN=IMSAGC017_01061 PE=4 SV=1	Thomasclavelia
078_038_456	A0A1C6HV18	94.2	70	5.687e-33	130	59620	uncultured Clostridium sp.	tr|A0A1C6HV18|A0A1C6HV18_9CLOT Conjugal transfer protein OS=uncultured Clostridium sp. OX=59620 GN=SAMEA3545383_03150 PE=4 SV=1	uncultured
078_038_456	A0A1C6BX67	94.2	70	5.687e-33	130	165186	uncultured Ruminococcus sp.	tr|A0A1C6BX67|A0A1C6BX67_9FIRM Conjugal transfer protein OS=uncultured Ruminococcus sp. OX=165186 GN=SAMEA3545373_01497 PE=4 SV=1	uncultured
078_038_456	U2RGF1	94.2	70	5.687e-33	130	1256908	Eubacterium ramulus ATCC 29099	tr|U2RGF1|U2RGF1_EUBRA Conjugal transfer protein OS=Eubacterium ramulus ATCC 29099 OX=1256908 GN=HMPREF0373_00069 PE=4 SV=1	Eubacterium
078_038_456	A0A415HFY7	94.2	70	5.687e-33	130	40520	Blautia obeum	tr|A0A415HFY7|A0A415HFY7_9FIRM Conjugal transfer protein OS=Blautia obeum OX=40520 GN=DW040_17810 PE=4 SV=1	Blautia
078_038_456	A0A174T3W1	94.2	70	5.687e-33	130	418240	Blautia wexlerae	tr|A0A174T3W1|A0A174T3W1_9FIRM Conjugal transfer protein OS=Blautia wexlerae OX=418240 GN=ERS852523_03749 PE=4 SV=1	Blautia
078_038_456	A0A413PM96	92.8	70	5.687e-33	130	39488	Anaerobutyricum hallii	tr|A0A413PM96|A0A413PM96_9FIRM Conjugal transfer protein OS=Anaerobutyricum hallii OX=39488 GN=DW972_14855 PE=4 SV=1	Anaerobutyricum
078_038_456	A0A395W3P1	92.8	70	7.806e-33	130	1735	Holdemanella biformis	tr|A0A395W3P1|A0A395W3P1_9FIRM Conjugal transfer protein OS=Holdemanella biformis OX=1735 GN=DWV56_04265 PE=4 SV=1	Holdemanella
078_038_456	A0A395Y9Z2	92.8	70	7.806e-33	130	2292346	Dorea sp. AM58-8	tr|A0A395Y9Z2|A0A395Y9Z2_9FIRM Conjugal transfer protein OS=Dorea sp. AM58-8 OX=2292346 GN=DXA18_14895 PE=4 SV=1	Dorea
078_038_456	A0A414D0U0	92.8	70	7.806e-33	130	33038	Mediterraneibacter gnavus	tr|A0A414D0U0|A0A414D0U0_MEDGN Conjugal transfer protein OS=Mediterraneibacter gnavus OX=33038 GN=DW812_15765 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A414UY48	92.8	70	7.806e-33	130	33038	Mediterraneibacter gnavus	tr|A0A414UY48|A0A414UY48_MEDGN Conjugal transfer protein OS=Mediterraneibacter gnavus OX=33038 GN=DW243_03670 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A3E5EGL6	92.8	70	7.806e-33	130	39486	Dorea formicigenerans	tr|A0A3E5EGL6|A0A3E5EGL6_9FIRM Conjugal transfer protein OS=Dorea formicigenerans OX=39486 GN=DW957_09995 PE=4 SV=1	Dorea
078_038_456	A0A3E5E8H6	92.8	70	7.806e-33	130	40520	Blautia obeum	tr|A0A3E5E8H6|A0A3E5E8H6_9FIRM Uncharacterized protein OS=Blautia obeum OX=40520 GN=DXB38_14440 PE=4 SV=1	Blautia
078_038_456	E5VHT1	92.8	70	7.806e-33	130	658089	Lachnospiraceae bacterium 5_1_63FAA	tr|E5VHT1|E5VHT1_9FIRM Conjugal transfer protein OS=Lachnospiraceae bacterium 5_1_63FAA OX=658089 GN=HMPREF0996_00631 PE=4 SV=1	Lachnospiraceae
078_038_456	A0A416XMD0	92.8	70	7.806e-33	130	2292958	Blautia sp. AF14-40	tr|A0A416XMD0|A0A416XMD0_9FIRM Conjugal transfer protein OS=Blautia sp. AF14-40 OX=2292958 GN=DWW13_17620 PE=4 SV=1	Blautia
078_038_456	A0A3E5GP78	92.8	70	7.806e-33	130	39486	Dorea formicigenerans	tr|A0A3E5GP78|A0A3E5GP78_9FIRM Conjugal transfer protein OS=Dorea formicigenerans OX=39486 GN=DW885_14590 PE=4 SV=1	Dorea
078_038_456	A0A395X558	92.8	70	7.806e-33	130	40520	Blautia obeum	tr|A0A395X558|A0A395X558_9FIRM Conjugal transfer protein OS=Blautia obeum OX=40520 GN=DWW07_15720 PE=4 SV=1	Blautia
078_038_456	U2QKH7	92.8	70	7.806e-33	130	1256908	Eubacterium ramulus ATCC 29099	tr|U2QKH7|U2QKH7_EUBRA Toxin-antitoxin system, antitoxin component, ribbon-helix-helix domain protein OS=Eubacterium ramulus ATCC 29099 OX=1256908 GN=HMPREF0373_03070 PE=4 SV=1	Eubacterium
078_038_456	A0A4P9E9W0	92.8	70	7.806e-33	130	2479767	Blautia sp. SC05B48	tr|A0A4P9E9W0|A0A4P9E9W0_9FIRM Conjugal transfer protein OS=Blautia sp. SC05B48 OX=2479767 GN=EYS05_03180 PE=4 SV=1	Blautia
078_038_456	A0A3R5XD10	92.8	70	7.806e-33	130	410072	Coprococcus comes	tr|A0A3R5XD10|A0A3R5XD10_9FIRM Conjugal transfer protein OS=Coprococcus comes OX=410072 GN=DWW65_14880 PE=4 SV=1	Coprococcus
078_038_456	E2SRR3	92.8	70	7.806e-33	130	658659	Erysipelotrichaceae bacterium 3_1_53	tr|E2SRR3|E2SRR3_9FIRM Conjugal transfer protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_03972 PE=4 SV=1	Erysipelotrichaceae
078_038_456	A0AAX1U1Q4	92.8	70	7.806e-33	130	2292277	Absiella sp. AM27-20	tr|A0AAX1U1Q4|A0AAX1U1Q4_9FIRM Uncharacterized protein OS=Absiella sp. AM27-20 OX=2292277 GN=DW716_22740 PE=4 SV=1	Absiella
078_038_456	A0A8G1TIA3	92.8	70	7.806e-33	130	2292195	Blautia sp. AF13-16	tr|A0A8G1TIA3|A0A8G1TIA3_9FIRM Conjugal transfer protein OS=Blautia sp. AF13-16 OX=2292195 GN=DWV84_25940 PE=4 SV=1	Blautia
078_038_456	A0A415VXD7	92.8	70	7.806e-33	130	2292903	Lachnospiraceae bacterium AM21-21	tr|A0A415VXD7|A0A415VXD7_9FIRM Conjugal transfer protein OS=Lachnospiraceae bacterium AM21-21 OX=2292903 GN=DW246_13160 PE=4 SV=1	Lachnospiraceae
078_038_456	A0A416ZN36	92.8	70	7.806e-33	130	2292979	Blautia sp. AM47-4	tr|A0A416ZN36|A0A416ZN36_9FIRM Conjugal transfer protein OS=Blautia sp. AM47-4 OX=2292979 GN=DW965_09965 PE=4 SV=1	Blautia
078_038_456	A0A416W5E9	92.8	70	7.806e-33	130	2293103	Eubacterium sp. AF15-50	tr|A0A416W5E9|A0A416W5E9_9FIRM Conjugal transfer protein OS=Eubacterium sp. AF15-50 OX=2293103 GN=DWW50_08350 PE=4 SV=1	Eubacterium
078_038_456	A0A4Q8U2L3	92.8	70	1.072e-32	130	2527876	Mediterraneibacter sp. gm002	tr|A0A4Q8U2L3|A0A4Q8U2L3_9FIRM Conjugal transfer protein OS=Mediterraneibacter sp. gm002 OX=2527876 GN=EYA86_03040 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A8J6M7R9	92.8	70	1.072e-32	130	2763048	Flintibacter hominis	tr|A0A8J6M7R9|A0A8J6M7R9_9FIRM Conjugal transfer protein OS=Flintibacter hominis OX=2763048 GN=H8S11_03400 PE=4 SV=1	Flintibacter
078_038_456	A0A3E4LPX5	92.8	70	1.072e-32	130	46228	[Ruminococcus] lactaris	tr|A0A3E4LPX5|A0A3E4LPX5_9FIRM Conjugal transfer protein OS=[Ruminococcus] lactaris OX=46228 GN=DXD17_08620 PE=4 SV=1	[Ruminococcus]
078_038_456	A0A6N4TNH1	92.8	70	1.072e-32	130	2583452	Amedibacterium intestinale	tr|A0A6N4TNH1|A0A6N4TNH1_9FIRM Conjugal transfer protein OS=Amedibacterium intestinale OX=2583452 GN=Aargi30884_28780 PE=4 SV=1	Amedibacterium
078_038_456	A0AAX1U105	92.8	70	1.072e-32	130	2292277	Absiella sp. AM27-20	tr|A0AAX1U105|A0AAX1U105_9FIRM Uncharacterized protein OS=Absiella sp. AM27-20 OX=2292277 GN=DW716_23790 PE=4 SV=1	Absiella
078_038_456	A0A416EGX9	92.8	70	1.072e-32	130	2292968	Blautia sp. AF34-10	tr|A0A416EGX9|A0A416EGX9_9FIRM Conjugal transfer protein OS=Blautia sp. AF34-10 OX=2292968 GN=DWZ60_15065 PE=4 SV=1	Blautia
078_038_456	A0A3E5GAA5	94.2	70	1.072e-32	130	88431	Dorea longicatena	tr|A0A3E5GAA5|A0A3E5GAA5_9FIRM Conjugal transfer protein OS=Dorea longicatena OX=88431 GN=DXB16_10395 PE=4 SV=1	Dorea
078_038_456	A0A3A6D490	92.8	70	1.072e-32	130	2302975	Erysipelotrichaceae bacterium AF15-26LB	tr|A0A3A6D490|A0A3A6D490_9FIRM Conjugal transfer protein OS=Erysipelotrichaceae bacterium AF15-26LB OX=2302975 GN=DWW36_15655 PE=4 SV=1	Erysipelotrichaceae
078_038_456	A0A1C5WWM7	94.2	70	1.072e-32	130	512314	uncultured Roseburia sp.	tr|A0A1C5WWM7|A0A1C5WWM7_9FIRM Conjugal transfer protein OS=uncultured Roseburia sp. OX=512314 GN=SAMEA3545351_00690 PE=4 SV=1	uncultured
078_038_456	A0A564TAK0	92.8	70	1.072e-32	130	76860	Streptococcus constellatus	tr|A0A564TAK0|A0A564TAK0_STRCV Conjugal transfer protein OS=Streptococcus constellatus OX=76860 GN=SCSS39_01375 PE=4 SV=1	Streptococcus
078_038_456	A0A3R6V145	92.8	70	1.072e-32	130	2292274	Clostridiaceae bacterium OM08-6BH	tr|A0A3R6V145|A0A3R6V145_9CLOT Conjugal transfer protein OS=Clostridiaceae bacterium OM08-6BH OX=2292274 GN=DXC26_06710 PE=4 SV=1	Clostridiaceae
078_038_456	A0A1Q2C7Y7	92.8	70	1.072e-32	130	649756	Anaerostipes hadrus	tr|A0A1Q2C7Y7|A0A1Q2C7Y7_ANAHA Conjugal transfer protein OS=Anaerostipes hadrus OX=649756 GN=DO83_09320 PE=4 SV=1	Anaerostipes
078_038_456	A0A8J6PG45	92.8	70	1.072e-32	130	1987501	Massiliimalia timonensis	tr|A0A8J6PG45|A0A8J6PG45_9FIRM Conjugal transfer protein OS=Massiliimalia timonensis OX=1987501 GN=H8702_09355 PE=4 SV=1	Massiliimalia
078_038_456	A0A395WAN3	92.8	70	1.072e-32	130	1735	Holdemanella biformis	tr|A0A395WAN3|A0A395WAN3_9FIRM Conjugal transfer protein OS=Holdemanella biformis OX=1735 GN=DWW32_09425 PE=4 SV=1	Holdemanella
078_038_456	A0A3E4M673	92.8	70	1.072e-32	130	39486	Dorea formicigenerans	tr|A0A3E4M673|A0A3E4M673_9FIRM Conjugal transfer protein OS=Dorea formicigenerans OX=39486 GN=DW658_00470 PE=4 SV=1	Dorea
078_038_456	A0A373CCC3	92.8	70	1.072e-32	130	2305242	Clostridium sp. AM34-11AC	tr|A0A373CCC3|A0A373CCC3_9CLOT Conjugal transfer protein OS=Clostridium sp. AM34-11AC OX=2305242 GN=DW826_14680 PE=4 SV=1	Clostridium
078_038_456	A0AAJ1LKW3	94.2	70	1.072e-32	130	33038	Mediterraneibacter gnavus	tr|A0AAJ1LKW3|A0AAJ1LKW3_MEDGN Conjugal transfer protein OS=Mediterraneibacter gnavus OX=33038 GN=OZZ16_11100 PE=4 SV=1	Mediterraneibacter
078_038_456	A0A9Q7MPU5	92.8	70	1.072e-32	130	1547	Thomasclavelia ramosa	tr|A0A9Q7MPU5|A0A9Q7MPU5_9FIRM Conjugal transfer protein OS=Thomasclavelia ramosa OX=1547 GN=DXA75_02515 PE=4 SV=1	Thomasclavelia
078_038_456	A0AAX1U2K5	94.2	70	1.072e-32	130	2292277	Absiella sp. AM27-20	tr|A0AAX1U2K5|A0AAX1U2K5_9FIRM Uncharacterized protein OS=Absiella sp. AM27-20 OX=2292277 GN=DW716_21110 PE=4 SV=1	Absiella
078_038_456	E2SIP4	92.8	70	1.072e-32	130	658659	Erysipelotrichaceae bacterium 3_1_53	tr|E2SIP4|E2SIP4_9FIRM Conjugal transfer protein OS=Erysipelotrichaceae bacterium 3_1_53 OX=658659 GN=HMPREF0983_00886 PE=4 SV=1	Erysipelotrichaceae
078_038_456	A0A346UYH1	92.8	70	1.072e-32	130	1496	Clostridioides difficile	tr|A0A346UYH1|A0A346UYH1_CLODI Conjugal transfer protein OS=Clostridioides difficile OX=1496 GN=KRQ00_001845 PE=4 SV=1	Clostridioides
078_038_456	A0A395ZZN3	92.8	70	1.072e-32	130	40520	Blautia obeum	tr|A0A395ZZN3|A0A395ZZN3_9FIRM Conjugal transfer protein OS=Blautia obeum OX=40520 GN=DW222_16715 PE=4 SV=1	Blautia
078_038_456	A0A416CM40	94.2	70	1.072e-32	130	2292889	Firmicutes bacterium AF36-3BH	tr|A0A416CM40|A0A416CM40_9FIRM Conjugal transfer protein OS=Firmicutes bacterium AF36-3BH OX=2292889 GN=DW004_11015 PE=4 SV=1	Firmicutes
078_038_456	A0A3R6SVL6	92.8	70	1.072e-32	130	2293053	Clostridium sp. TF11-13AC	tr|A0A3R6SVL6|A0A3R6SVL6_9CLOT Conjugal transfer protein OS=Clostridium sp. TF11-13AC OX=2293053 GN=DXD12_06960 PE=4 SV=1	Clostridium
078_038_456	A0AA37JDV4	92.8	70	1.072e-32	130	154046	Hungatella hathewayi	tr|A0AA37JDV4|A0AA37JDV4_9FIRM Conjugal transfer protein OS=Hungatella hathewayi OX=154046 GN=CE91St55_12050 PE=4 SV=1	Hungatella
078_038_456	A0A494ZRJ4	92.8	70	1.072e-32	130	2448031	Ruminococcus sp. B05	tr|A0A494ZRJ4|A0A494ZRJ4_9FIRM Conjugal transfer protein OS=Ruminococcus sp. B05 OX=2448031 GN=D8Q48_09985 PE=4 SV=1	Ruminococcus
078_038_456	A0AAP2XNX1	92.8	70	1.072e-32	130	1982626	Faecalibacillus intestinalis	tr|A0AAP2XNX1|A0AAP2XNX1_9FIRM Conjugal transfer protein OS=Faecalibacillus intestinalis OX=1982626 GN=LJD74_06405 PE=4 SV=1	Faecalibacillus
078_038_456	A0A9X8WRK3	94.2	70	1.072e-32	130	1496	Clostridioides difficile	tr|A0A9X8WRK3|A0A9X8WRK3_CLODI Conjugal transfer protein OS=Clostridioides difficile OX=1496 GN=SAMEA3375112_03088 PE=4 SV=1	Clostridioides
078_038_456	A0A7G9GS21	92.8	70	1.072e-32	130	2764325	[Eubacterium] hominis	tr|A0A7G9GS21|A0A7G9GS21_9FIRM Conjugal transfer protein OS=[Eubacterium] hominis OX=2764325 GN=H9Q80_06550 PE=4 SV=1	[Eubacterium]
078_038_456	A0A372UJS3	92.8	70	1.072e-32	130	2302974	Lachnospiraceae bacterium AM25-17	tr|A0A372UJS3|A0A372UJS3_9FIRM Conjugal transfer protein OS=Lachnospiraceae bacterium AM25-17 OX=2302974 GN=DW669_00075 PE=4 SV=1	Lachnospiraceae
078_038_456	A0A372YSK7	92.8	70	1.072e-32	130	2302978	Erysipelotrichaceae bacterium AM07-35-1	tr|A0A372YSK7|A0A372YSK7_9FIRM Conjugal transfer protein OS=Erysipelotrichaceae bacterium AM07-35-1 OX=2302978 GN=DW100_00710 PE=4 SV=1	Erysipelotrichaceae
078_038_456	E7G6X4	92.8	70	1.072e-32	130	100884	Coprobacillus cateniformis	tr|E7G6X4|E7G6X4_9FIRM Conjugal transfer protein OS=Coprobacillus cateniformis OX=100884 GN=HMPREF9488_00512 PE=4 SV=1	Coprobacillus
078_038_456	A0A3E2VVH3	92.8	70	1.072e-32	130	1522	[Clostridium] innocuum	tr|A0A3E2VVH3|A0A3E2VVH3_CLOIN Conjugal transfer protein OS=Clostridium innocuum OX=1522 GN=DXA38_11230 PE=4 SV=1	[Clostridium]
078_038_456	A0A3R6DHQ9	92.8	70	1.072e-32	130	410072	Coprococcus comes	tr|A0A3R6DHQ9|A0A3R6DHQ9_9FIRM Conjugal transfer protein OS=Coprococcus comes OX=410072 GN=DWX03_13435 PE=4 SV=1	Coprococcus
078_038_456	A0AB38G6F7	94.2	70	1.4710000000000001e-32	129	150055	Streptococcus lutetiensis	tr|A0AB38G6F7|A0AB38G6F7_9STRE Uncharacterized protein OS=Streptococcus lutetiensis OX=150055 GN=NCTC8738_01094 PE=4 SV=1	Streptococcus
078_038_456	A0A6N2UDV3	94.2	70	2.0190000000000001e-32	129	765821	uncultured Blautia sp.	tr|A0A6N2UDV3|A0A6N2UDV3_9FIRM Conjugal transfer protein OS=uncultured Blautia sp. OX=765821 GN=BULFYP118_02089 PE=4 SV=1	uncultured
078_038_456	A0A6N4TLN6	94.2	70	2.0190000000000001e-32	129	2583452	Amedibacterium intestinale	tr|A0A6N4TLN6|A0A6N4TLN6_9FIRM Conjugal transfer protein OS=Amedibacterium intestinale OX=2583452 GN=Aargi30884_25560 PE=4 SV=1	Amedibacterium
